item1_image_url,item2_image_url
https://user-images.githubusercontent.com/18012521/54030581-58b5ca80-41ac-11e9-945d-2f58cdd3ae9a.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8P4tIO2pxF6VpTB7UFkweCGyxAaIT2---9OjgxW7aVfX-PbSW
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8P4tIO2pxF6VpTB7UFkweCGyxAaIT2---9OjgxW7aVfX-PbSW,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpsMB8bMpZvpcJ6BeQyaRl37c9yQsTbzb6MyiR0jJ8C1myMRiuSw
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpsMB8bMpZvpcJ6BeQyaRl37c9yQsTbzb6MyiR0jJ8C1myMRiuSw,https://user-images.githubusercontent.com/18012521/54030581-58b5ca80-41ac-11e9-945d-2f58cdd3ae9a.jpg
